2020-03-14-intervencion_presidente,,2020-03-17-Intervencion_presidente_ERTES_conciliacion,,2020-03-19_Rueda_prensa_comite_tecnico,,2020-03-19_Rueda_prensa_min_sanidad_y_vice_segundo,
Veces,Palabra,Veces,Palabra,Veces,Palabra,Veces,Palabra
1,determinación,2,arma,1,acordar,1,comporta
1,descrito,2,director,1,disponibles,1,adicionalmente
1,entramos,2,necesaria,1,rené,1,entregas
1,activación,2,transparencia,1,faltando,1,liquidez
1,mecanismo,2,pedagogía,1,cambiar,1,adoptó
1,constitucional,2,impulsar,1,mitad,1,consejos
1,preparados,2,relación,1,mayo,1,anteriores
1,claras,2,definitivamente,1,ellen,1,grupo
1,ponemos,2,recuperando,1,esperar,1,sensible
1,prioridades,2,cuestión,1,ocasiones,1,trabajado
1,directamente,2,comunicado,1,incidencia,1,hora
1,iban,2,felipe,1,acabo,1,vos
1,consecuencias,2,diferencias,1,parcial,1,visitaremos
1,avanzar,2,discrepancias,1,tomar,1,encomendar
1,implementar,2,p,1,ediciones,1,estacionales
1,flexibilización,2,resto,1,bello,1,administración
1,ajuste,2,políticas,1,indiquen,1,asegurando
1,temporal,2,tomar,1,actuaciones,1,mínimos
1,denominados,2,necesariamente,1,respectivas,1,garantizados
1,artes,2,afrontar,1,áreas,1,encomendados
